modeoflearning,edlevel,yearscode,yearscodepro,devtype,languagehaveworkedwith,databasehaveworkedwith,platformhaveworkedwith,webframehaveworkedwith,newcollabtoolshaveworkedwith,opsyspersonal_use,opsysprofessionaluse,workexpyears,industry
Remote,Primaryelementary school,-1,-1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,17,Developer fullstack,BashShell all shellsGoHTMLCSSJavaJavaScriptPythonTypeScript,DynamodbMongoDBPostgreSQL,Amazon Web Services AWSHerokuNetlify,ExpressNextjsNodejsReact,PyCharmVisual Studio CodeWebStorm,MacOSWindows,MacOS,17,Unknown
Remote,Masters degree MA MS MEng MBA etc,37,27,Developer Experience,C,Firebase Realtime Database,Google Cloud,ASPNET CORE,Visual Studio,Windows,Windows,-1,Unknown
Unknown,Some collegeuniversity study without earning a degree,4,-1,Developer fullstack,CCHTMLCSSJavaJavaScriptPHPPowerShellPythonSQLTypeScript,MongoDBMySQLPostgreSQLSQLite,Amazon Web Services AWSFlyioHeroku,jQueryNextjsNodejsReactWordPress,Unknown,Unknown,Unknown,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,9,-1,Developer fullstack,CHTMLCSSJavaScriptLuaPythonRust,PostgreSQLSQLite,Unknown,Unknown,Vim,Other please specify,Unknown,-1,Unknown
Unknown,Primaryelementary school,10,-1,Student,BashShell all shellsHTMLCSSJavaJavaScriptPythonRustSwiftTypeScript,Cloud Firestore,Cloudflare,Nodejs,NanoVimVisual Studio CodeXcode,iOSMacOSUbuntu,Unknown,-1,Unknown
Remote,Professional degree JD MD PhD EdD etc,7,7,Academic researcher,R,Unknown,Unknown,Unknown,RStudio,MacOS,MacOS,-1,Unknown
Unknown,Secondary school eg American high school German Realschule or Gymnasium etc,1,-1,Student,HTMLCSSJavaScriptTypeScript,Supabase,FirebaseNetlifyVercel,NextjsReact,Visual Studio Code,MacOS,MacOS,-1,Unknown
Inperson,Professional degree JD MD PhD EdD etc,20,-1,Academic researcher,Lua,Unknown,Unknown,Unknown,Visual Studio Code,MacOS,MacOS,-1,Unknown
Remote,Masters degree MA MS MEng MBA etc,15,11,Developer fullstack,HTMLCSSJavaScriptTypeScript,MongoDBMySQLPostgreSQLRedis,Amazon Web Services AWSDigital OceanFirebaseVercel,ExpressNextjsNodejsReact,Visual Studio Code,Windows,Windows,-1,Unknown
Remote,Bachelors degree BA BS BEng etc,20,-1,Project manager,JavaScriptPythonRuby,ElasticsearchMongoDBPostgreSQLSQLite,Amazon Web Services AWSGoogle Cloud,NodejsReactRuby on Rails,Visual Studio Code,WindowsWindows Subsystem for Linux WSL,Windows,15,Healthcare
Inperson,Professional degree JD MD PhD EdD etc,30,25,Developer Advocate,CCCDelphiHTMLCSSJavaJavaScriptPowerShellSQLTypeScriptVBAVisual Basic Net,Microsoft AccessMicrosoft SQL ServerPostgreSQLSQLite,Cloudflare,ASPNETASPNET COREExpressjQueryNodejsReact,Android StudioIntelliJ IDEANetbeansNotepadSublime TextVisual StudioVisual Studio CodeWebStorm,WindowsWindows Subsystem for Linux WSL,WindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Bachelors degree BA BS BEng etc,20,12,Developer backend,BashShell all shellsCJavaScriptPowerShellVBA,MySQL,Amazon Web Services AWSGoogle CloudHetznerVMware,Unknown,NotepadVimVisual Studio Code,WindowsWindows Subsystem for Linux WSL,Windows Subsystem for Linux WSL,12,Software Development
Unknown,Bachelors degree BA BS BEng etc,20,-1,Other please specify,PHPPython,MariaDBMySQL,Unknown,CodeIgniter,Visual StudioVisual Studio Code,MacOSUbuntuWindowsWindows Subsystem for Linux WSL,UbuntuWindowsWindows Subsystem for Linux WSL,-1,Unknown
Hybrid some remote some inperson,Masters degree MA MS MEng MBA etc,15,10,Unknown,CC,Oracle,Unknown,Unknown,EclipseNotepadVisual StudioVisual Studio Code,Red HatWindows,Red HatWindows,-1,Unknown
Hybrid some remote some inperson,Some collegeuniversity study without earning a degree,31,27,Developer fullstack,CHTMLCSSJavaScriptPowerShellSQLTypeScriptVBAVisual Basic Net,Microsoft AccessMicrosoft SQL Server,Unknown,ASPNETASPNET COREBlazorjQuery,NotepadVisual StudioVisual Studio Code,Windows,Windows,29,BankingFinancial Services
Unknown,Primaryelementary school,7,-1,Student,RustTypeScript,Unknown,Unknown,Nodejs,Visual Studio Code,Arch,Unknown,-1,Unknown
